Question,Correct Answer,Simple Answer,RAG Answer,Multi-Question Answer
What does Harry accidentally do when he goes to the zoo?,Make the glass in the snake enclosure disappear,"{'answer': ""For this specific question, I don't have enough context to provide an accurate answer. I can only generate responses based on given information and provided schemas."", 'source': 'User Question'}","{'answer': 'Harry accidentally sets a large snake free from its tank at the zoo, causing panic among visitors.', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling, Chapter 2: The Vanishing Glass""}","{'answer': 'Harry accidentally sets a boa constrictor named Bangladesh free from its enclosure at the zoo.', 'source': ""J.K. Rowling, Harry Potter and the Philosopher's Stone, Chapter 2: The Vanishing Glass""}"
What are the names of Severus Snape's parents?,Tobias Snape (father) and Eileen Snape (Prince) (mother),"{'answer': ""Severus Snape's parents were named Evanros and Euphemia Rogue. However, it is important to note that this information comes from Harry Potter and the Deathly Hallows by J.K. Rowling."", 'source': 'Harry Potter and the Deathly Hallows by J.K. Rowling'}","{'answer': ""Snape's parents' names were not mentioned in the Harry Potter series."", 'source': ""J.K. Rowling's 'Harry Potter and the Deathly Hallows'""}","{'answer': ""The names of Severus Snape's parents are not mentioned in the Harry Potter series."", 'source': 'J.K. Rowling, Harry Potter and the Deathly Hallows'}"
"What is the name of the Quidditch move where a seeker fake's seeing the snitch and dives to the ground but pulls out of the dive just in time, but the opposing seeker plummets to the ground?",Wronsky Feint,"{'answer': 'Disapparition Feint', 'source': 'Personal knowledge'}","{'answer': 'Banishing Snitch Dive or Feint', 'source': ""The name 'Banishing Snitch Dive' or 'Feint' is used in Quidditch when a Seeker fakes a snatch attempt, causing the opposing Seeker to dive after them, only for the first Seeker to pull out of the dive just in time. This move can confuse and disorient the opposing team and create an opportunity for the attacking team to gain an advantage.""}","{'answer': 'Feint or Bluff', 'source': ""The name of the Quidditch move where a Seeker fakes seeing the Snitch and dives to the ground but pulls out just in time, causing the opposing Seeker to plummet to the ground is called 'Feint' or 'Bluff'. This move is used to deceive the opposing team and gain an advantage.""}"
What is the first-ever password to Gryffindor Tower?,Caput Draconis,"{'answer': 'first-ever-password', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': 'Coming through, coming through!'}","{'answer': 'The text does not provide information about the first-ever password to Gryffindor Tower.', 'source': 'The context provided in the text is an extract from chapter neville_longbottom of the Harry Potter series, where Neville lost the passwords to Gryffindor Tower and was banned from visiting Hogsmeade for the remainder of the school year. It also mentions that Sir Cadogan changes the passwords frequently, and that Neville wrote them down in order to remember them. However, there is no mention of what the first-ever password to Gryffindor Tower was.'}"
Why did Cormac McLaggen miss the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince?,He ate a pound of doxy eggs for a bet.,"{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was expelled from Hogwarts.', 'source': ""J.K. Rowling's Harry Potter series, specifically Harry Potter and the Philosopher's Stone""}","{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was invited for dinner with Slughorn as part of the Slug Club.', 'source': ""The excerpt from 'Harry Potter and the Half-Blood Prince' (chapter 11) does not provide information about why Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince.""}","{'answer': 'Cormac McLaggen missed the Quidditch tryouts in the year previous to Harry Potter and the Half-Blood Prince because he was recovering from being poisoned.', 'source': ""The extract is from Chapter 19 of Harry Potter and the Half-Blood Prince, entitled 'ELF-TAILS'. Lavender Brown is talking to Harry about Ron Weasley, and she mentions that McLaggen was not at the tryouts because he was still recovering from being poisoned.""}"
What magical plant does Harry use to breathe underwater during the second task of the Triwizard Tournament?,Gillyweed,"{'answer': 'The magical plant Harry uses to breathe underwater during the second task of the Triwizard Tournament is the Gillyweed.', 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'No magical plant is mentioned in the text for Harry to breathe underwater during the second task of the Triwizard Tournament.', 'source': 'J.K. Rowling, Harry Potter and the Goblet of Fire'}","{'answer': 'There is no magical plant that Harry uses to breathe underwater during the second task of the Triwizard Tournament. Instead, Harry and his team spend countless hours in the Hogwarts library searching for a charm or spell that could help Harry survive underwater for an hour.', 'source': 'Harry Potter and the Goblet of Fire by J.K. Rowling'}"
"Who is the ghost of Ravenclaw Tower, also known as 'The Grey Lady'?",Helena Ravenclaw,"{'answer': 'The Grey Lady is believed to be the ghost of Helena Ravenclaw, the founder of Ravenclaw House in Hogwarts.', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Helena Ravenclaw, the daughter of Rowena Ravenclaw, is the ghost of Ravenclaw Tower.', 'source': 'Harry Potter and the Deathly Hallows - Chapter 31 (The Final Hiding Place)'}","{'answer': 'Helena Ravenclaw', 'source': ""Harry Potter and the Deathly Hallows - Chapter 28 (Snape's Libion)""}"
What is the core of Harry Potter's wand?,Phoenix feather,"{'answer': ""The core of Harry Potter's wand is a phoenix feather."", 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': ""Harry Potter's wand core is made of holly and unicorn hair."", 'source': ""The text describes Mr. Ollivander measuring Harry for a new wand, mentioning that Harry's previous wand had a phaselic (hornless) unicorn horn core. However, the new wand he is given in this scene has a holly and unicorn hair core.""}","{'answer': ""The core of Harry Potter's wand is phoenix feather."", 'source': ""Chapter 5 of 'Harry Potter and the Philosopher's Stone' by J.K. Rowling.""}"
Which potion allows the drinker to assume the form of someone else?,Polyjuice Potion,"{'answer': 'The drink that allows the drinker to assume the form of someone else is typically associated with mythological figures such as the Greek god Dionysus, Roman god Liber, or Norse god Odin. In these tales, a potion or drink is consumed which grants the imbiber the ability to transform into other beings. This is a common trope in folklore and fantasy literature.', 'source': 'Mythology and Fantasy Literature'}","{'answer': 'Polyjuice Potion', 'source': ""Harry Potter and the Chamber of Secrets - Hermione brewing Polyjuice Potion to transform into Slytherin students in order to find out the truth about Tom Riddle's diary.""}","{'answer': 'Polyjuice Potion', 'source': ""The extract is from 'Harry Potter and the Chamber of Secrets' in Chapter 12 named 'THE POLY-JUICE POTION'. In the context, Hermione, Ron, and Harry drink Polyjuice Potion to transform into Crabbe and Goyle for spying purposes.""}"
What is the name of the house-elf bound to serve the Black family?,Kreacher,"{'answer': 'Dobby', 'source': 'Harry Potter series'}","{'answer': 'Kreacher', 'source': 'The Noble and Most Ancient House of Black: Chapter 6, Harry Potter and the Order of the Phoenix'}","{'answer': 'Kreacher', 'source': 'The Noble and Most Ancient House of Black - Harry Potter and the Order of the Phoenix by J.K. Rowling'}"
"Who destroys the final Horcrux, Nagini?",Neville Longbottom,"{'answer': ""Harry Potter destroys Nagini, Voldemort's last Horcrux, in the forest near Hogwarts by killing her with a sword."", 'source': 'Harry Potter and the Deathly Hallows - Book by J.K. Rowling'}",{'answer': 'Neville Longbottom'},"{'answer': 'Neville Longbottom', 'source': ""The Battle of Hogwarts results in Nagini's death and Voldemort's ultimate defeat.""}"
What is the full name of the spell used to disarm another wizard?,Expelliarmus,"{'answer': 'DisARM Hex', 'source': 'Advanced Magical Handbook'}","{'answer': 'Expelliarmus', 'source': 'The spell used to disarm another wizard is called Expelliarmus, as mentioned in the context when Neville successfully casts it against Harry.'}","{'answer': 'Expelliarmus', 'source': ""The extracts provided mention the 'Disarming Charm' or 'Expelliarmus Spell' being practiced multiple times by the members of Dumbledore's Army. This spell is used to disarm another wizard by making their wand fly out of their hand.""}"
What is Dumbledore's full name?,Albus Percival Wulfric Brian Dumbledore,"{'answer': 'Albus Percival Wulfric Brian Dumbledore', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Albus Percival Wulfric Brian Dumbledore', 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': 'Albus Percival Wulfric Brian Dumbledore', 'source': 'wikipedia.org/wiki/Dumbledore'}"
Who is the Half-Blood Prince?,Severus Snape,"{'answer': 'Severus Snape', 'source': 'Harry Potter series'}","{'properties': {'answer': {'title': 'Answer', 'description': 'The answer to the question', 'type': 'string'}, 'source': {'title': 'Source', 'description': 'The source that was used to answer the question', 'type': 'string'}, 'required': ['answer', 'source']}, 'answer': 'The Half-Blood Prince is a former Hogwarts student whose name is not revealed in the text, but it is mentioned that he wrote spells and notes in an old Potions book used by Harry Potter. He is also rumored to have used the Levicorpus spell on Severus Snape.', 'source': 'chapter16_a_very_frost_christmas_from_harry_potter_and_the_half_blood_prince'}","{'answer': 'Severus Snape', 'source': ""The novel 'Harry Potter and the Half-Blood Prince' by J.K. Rowling""}"
What creature is Aragog?,Acromantula,"{'answer': ""Aragog is a giant acarid (spider) from J.K. Rowling's Harry Potter series."", 'source': 'Harry Potter and the Chamber of Secrets by J.K. Rowling'}","{'answer': 'Aragog is a giant spider.', 'source': ""In the Harry Potter series, Aragog is a large, ancient spider who lives in the Forbidden Forest. He is the father of many other spiders and has grown to his current size due to Hagrid's kindness.""}","{'answer': 'Aragog is a giant spider.', 'source': ""Chapter 15 of Harry Potter and the Chamber of Secrets, titled 'Aragog'""}"
What does the spell 'Lumos' do?,Produces light from the wand tip,"{'answer': ""The Spell 'Lumos' is a fictional incantation from J.K. Rowling's Harry Potter series, which causes the wand to emit light."", 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': ""The 'Lumos' spell turns on the wand's light at the top."", 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling""}","{'answer': ""The 'Lumos' spell is used to produce a bright light from the tip of a wand."", 'source': ""The context provided in the extract does not mention the 'Lumos' spell.""}"
Who was the Defense Against the Dark Arts teacher in Harry Potter's first year?,Professor Quirrell,"{'answer': ""The Defense Against the Dark Arts teacher in Harry Potter's first year was Professor Quirrell."", 'source': ""Harry Potter and the Sorcerer's Stone""}","{'answer': 'Professor Quirinus Quirrell', 'source': ""J.K. Rowling's Harry Potter series, specifically 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'Professor Quirinus Quirrell (later revealed to be possessed by Lord Voldemort)', 'source': ""Harry Potter and the Sorcerer's Stone by J.K. Rowling""}"
What is the name of Ron Weasley's rat?,"The name of Ron Weasley's rat is Peter Pettigrew, but he was disguised as a rat named Scabbers.","{'answer': 'Scabbers', 'source': 'Harry Potter series'}","{'answer': 'Scabbers', 'source': ""The name of Ron Weasley's rat is Scabbers.""}","{'answer': 'Scabbers', 'source': ""The name of Ron Weasley's rat is Scabbers.""}"
What position does Harry Potter play on his Quidditch team?,Seeker,"{'answer': 'Harry Potter is a Seeker in Quidditch.', 'source': ""Harry Potter is a fictional character and the main protagonist of J.K. Rowling's Harry Potter fantasy series. He is known to play as a Seeker for Gryffindor house Quidditch team.""}","{'answer': 'Harry Potter is the Seeker on his Quidditch team.', 'source': 'The extract mentions that Harry is the Seeker for Gryffindor Quidditch team.'}","{'answer': 'Harry Potter is the Seeker on his Quidditch team.', 'source': 'The extract describes Harry as the Seeker for Gryffindor Quidditch team.'}"
What is the name of the object used by Dumbledore to review memories?,Pensieve,"{'properties': {'question': {'title': 'Question', 'description': 'The user question', 'type': 'string'}, 'answer': {'title': 'Answer', 'description': 'The answer to the question', 'type': 'string'}, 'source': {'title': 'Source', 'description': 'The source that was used to answer the question', 'type': 'string'}}, 'required': ['question', 'answer', 'source']}","{'answer': 'The Resurrection Stone is not used by Dumbledore to review memories, but rather to bring back the dead.', 'source': 'Harry Potter and the Half-Blood Prince, Chapter 17 – A Sluggish Memory'}","{'answer': 'The Resurrection Stone', 'source': ""Dumbledore's use of the Resurrection Stone to access memories""}"
What is the title of the book Hermione gives to Harry before his first ever Quidditch match?,Quidditch Through the Ages,"{'answer': ""A Marauder's Map"", 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Quidditch Through the Ages', 'source': ""The excerpt provided from 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'Quidditch Through the Ages', 'source': ""The text itself (Chapter 11) mentions that Harry borrows a book entitled 'Quidditch Through the Ages' from Hermione before his first Quidditch match.""}"
Name the spell that conjures a Patronus.,Expecto Patronum,"{'answer': ""The Patronus charm is performed by drawing an arrow in the air from the wand, followed by the circular Protecto spell and finally the word 'Patronus'."", 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': 'The Patronus Charm', 'source': 'The extract describes Dumbledore using the Patronus Charm to conjure his Patronus.'}","{'answer': 'Patronus Charm', 'source': 'The text describes the Patronus Charm as the spell used to conjure a Patronus.'}"
What is the model of the first broom Harry ever receives?,Nimbus 2000,"{'answer': 'The model of the first broom Harry ever receives is a Nimbus 2000.', 'source': ""Harry Potter and the Philosopher's Stone by J.K. Rowling.""}","{'answer': 'Nimbus 2000', 'source': ""Harry's first broom was a Nimbus 2000, which he received as a gift from Professor McGonagall after agreeing to join the Gryffindor Quidditch team in 1991.""}","{'answer': 'Nimbus 2000', 'source': 'The context mentions that the first broomstick Harry received was a Nimbus 2000.'}"
"What is the name of the goblin who helps Harry, Ron, and Hermione break into Bellatrix Lestrange's vault?",Griphook,"{'answer': 'Griphook', 'source': 'Harry Potter and the Deathly Hallows'}","{'answer': 'Griphook', 'source': ""J.K. Rowling's 'Harry Potter and the Deathly Hallows'""}","{'answer': 'Griphook', 'source': ""J.K. Rowling's Harry Potter and the Deathly Hallows, Chapter 26: Gringotts""}"
What does S.P.E.W. stand for?,Society for the Promotion of Elfish Welfare,"{'answer': 'Searchable Product Exchange Wikia', 'source': 'Wikipedia'}","{'answer': 'Society for the Promotion of Elfish Welfare', 'source': 'The text mentions that Hermione Granger is the founder and secretary of S.P.E.W. (Society for the Promotion of Elfish Welfare).'}","{'answer': 'Society for the Promotion of Elfish Welfare', 'source': ""Harry Potter and the Philosopher's Stone""}"
Who is the author of 'The Life and Lies of Albus Dumbledore'?,Rita Skeeter,"{'answer': 'J.K. Rowling', 'source': 'Wikipedia'}","{'answer': 'J.K. Rowling', 'source': 'Rowling, J.K. The Life and Lies of Albus Dumbledore. Scholastic Corporation, 2001.'}","{'answer': 'J.K. Rowling', 'source': 'The excerpt provided is from Harry Potter and the Deathly Hallows by J.K. Rowling.'}"
What is the name of the potion that restores a person who has been petrified?,Mandrake Restorative Draught,"{'answer': ""The answer to this question is 'an answer that restores a person from petrification, such as an antidote potion in fantasy stories""}","{'answer': ""The name of the potion that restores a person who has been petrified is called the 'Anansi Concoction'. However, it's important to note that in the context of the Harry Potter series, there is no mention of such a potion being used by Albus Dumbledore or anyone else. The 'Emerald Potion', which was used by Dumbledore in the series, served to weaken him and reveal a vision rather than restore him from petrification.""}","{'answer': 'The Elixir of Life', 'source': ""J.K. Rowling's Harry Potter and the Philosopher's Stone, Chapter 17: The Man with Two Faces""}"
What is the password to the Prefects' Bathroom in Harry Potter and the Goblet of Fire?,Pine Fresh,"{'answer': '<the_answer>', 'source': '<a_reliable_source>'}","{'answer': ""Harry does not find a solution to the riddle of the egg during his visit to the Prefects' Bathroom."", 'source': 'Harry Potter and the Goblet of Fire, Chapter 25 - The Egg and the Eye'}","{'answer': '', 'source': ''}"
What spell does Harry use to save himself and Dumbledore from the Inferi in the cave?,Fire-making Spell (Incendio),"{'answer': 'Harry uses the Resurrection Stone to save himself and Dumbledore from the Inferi in the cave', 'source': 'Harry Potter and the Half-Blood Prince by J.K. Rowling'}","{'answer': 'Protego Totalum', 'source': ""Harry Potter and the Deathly Hallows (Chapter 25, 'The Sword of Gryffindor')""}","{'answer': 'fire', 'source': {'title': 'Skirmish at the Cave, Harry Potter and the Half-Blood Prince', 'description': 'The scene where Harry and Dumbledore encounter Inferi in the cave and use fire to protect themselves'}}"
What is the name of the spell used to open locks?,Alohomora,"{'answer': ""The name of the spell used to open locks varies in different contexts such as fantasy literature or real-life magic practices. In general, it is often referred to as 'Open' or 'Unlock' spell. In some systems, it might be called 'Dispel Locks' or 'Overcome Obstacles'."", 'source': 'This information comes from a general knowledge base and may not apply specifically to any particular context.'}","{'answer': 'Alohomora', 'source': 'The name of the spell used to open locks is Alohomora.'}","{'answer': 'Alohomora', 'source': ""The spell 'Alohomora' is used to open locks in the Harry Potter universe.""}"
"What is the only book in the Hogwarts library that contains information on Horcruxes, by name?",Secrets of the Darkest Art,"{'answer': ""The book named 'The Tale of the Three Brothers' in J.K. Rowling's Harry Potter series contains information on Horcruxes."", 'source': ""J.K. Rowling's Harry Potter and the Deathly Hallows novel""}","{'answer': ""The Only book in the Hogwarts library that contains information on Horcruxes, by name, is 'Harry Potter and the Deathly Hallows' by J.K. Rowling."", 'source': 'Harry Potter and the Deathly Hallows – a novel written by J.K. Rowling.'}","{'answer': 'No such book was found in the Hogwarts library.', 'source': 'The text provided indicates that Hermione searched thoroughly through the restricted section and other books without finding any explanation of Horcruxes.'}"
Who was the original owner of the Elder Wand before it passed to Dumbledore?,Antioch Peverell,"{'answer': 'The original owner of the Elder Wand before it passed to Dumbledore was Gellert Grindelwald.', 'source': ""J.K. Rowling's Harry Potter series, specifically 'Harry Potter and the Deathly Hallows'""}","{'answer': 'The original owner of the Elder Wand before it passed to Dumbledore was none other than Lord Voldemort himself.', 'source': 'Harry Potter and the Deathly Hallows by J.K. Rowling'}","{'answer': 'Gellert Grindelwald', 'source': 'Harry Potter and the Deathly Hallows (Chapter 26: The Goblet of Fire)'}"
"In 'Harry Potter and the Chamber of Secrets', which spell does Harry use to kill the Basilisk?","Godric Gryffindor's Sword (not a spell, but the means used to kill the Basilisk)","{'answer': 'expelliarmus', 'source': ""J.K. Rowling's 'Harry Potter and the Chamber of Secrets'""}","{'answer': 'The spell Harry uses to kill the Basilisk is not explicitly stated in the text. However, it can be inferred that he stabs the serpent with a sword.', 'source': 'CS C18'}","{'answer': 'The spell Harry uses to kill the Basilisk is not explicitly stated in the text, but it can be inferred that he stabs it with the sword of Gryffindor.', 'source': ""J.K. Rowling, 'Harry Potter and the Chamber of Secrets'""}"
What is the full name of the potion that grants the drinker luck for a period of time?,Felix Felicis,"{'answer': 'Lucky Potion', 'source': 'Fantasy literature or games'}","{'answer': 'Felix Felicis', 'source': 'The Half-Blood Prince, Chapter 9 - The Half-Blood Prince'}","{'answer': 'Felix Felicis', 'source': 'The Half-Blood Prince, Chapter 9 - The Half-Blood Prince'}"
What spell is used to erase someone's memories?,Obliviate,"{'answer': ""There is no known spell or method in real life to erase someone's memories."", 'source': 'Real life and folklore'}","{'answer': 'Obliviate', 'source': 'The extract mentions that Obliviate was about to be used by Lockhart on Harry and Ron.'}","{'answer': 'Obliviate', 'source': 'The extract mentions that Obliviate was about to be used by Lockhart on Harry and Ron.'}"
Which magical creature is known to guard the Chamber of Secrets?,Basilisk,"{'answer': 'A snake named Boris or The Basilisk', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Basilisk', 'source': ""J.K. Rowling's 'Harry Potter and the Chamber of Secrets'""}","{'answer': 'A basilisk is a magical creature that is known to guard the Chamber of Secrets.', 'source': 'The text describes Harry standing in the Chamber of Secrets and being confronted by Tom Riddle (later revealed to be Voldemort) while Ginny Weasley lies unconscious on the floor. The basilisk, a magical creature with the ability to petrify people by looking at them, is mentioned several times throughout the chapter but does not make an appearance. However, it is stated that the basilisk can only be called into the chamber and that it guards the Chamber of Secrets.'}"
What are the names of the Deathly Hallows?,"The Elder Wand, The Resurrection Stone, The Cloak of Invisibility","{'answer': ""The Deathly Hallows are a trio of magical objects mentioned in J.K. Rowling's Harry Potter series: The Resurrection Stone, The Invisibility Cloak, and The Elder Wand."", 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'The Deathly Hallows are a trio of magical artifacts: The Invisibility Cloak, the Resurrection Stone, and the Elder Wand.', 'source': 'Harry Potter and the Deathly Hallows - book by J.K. Rowling'}","{'answer': 'The Deathly Hallows are the Resurrection Stone, the Invisibility Cloak, and the Elder Wand.', 'source': 'The Tale of the Three Brothers from The Tales of Beedle the Bard'}"
What language is commonly spoken by goblins?,Gobbledegook,"{'answer': 'Goblin language name', 'source': 'Folklore or fantasy literature'}","{'answer': 'Gobbledegook', 'source': ""The extract mentions that goblins speak in Gobbledegook and that they use it when they don't want wizards to understand them.""}","{'answer': 'Gobbledegook', 'source': 'The excerpt mentions that the goblins were speaking in a language called Gobbledegook.'}"
Who originally created the Marauder's Map?,"James Potter, Sirius Black, Remus Lupin, and Peter Pettigrew","{'answer': 'J.K. Rowling', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': ""Messrs. Moony, Wormtail, Padfoot, and Prongs (Remus Lupin, Peter Pettigrew, Sirius Black, and James Potter) originally created the Marauder's Map."", 'source': ""Book: Harry Potter and the Prisoner of Azkaban, Chapter 10 – The Marauder's Map""}","{'answer': 'Moony, Wormtail, Padfoot, and Prongs', 'source': 'Harry Potter and the Prisoner of Azkaban by J.K. Rowling'}"
What is the name of the magical contract that enforces the rules of the Triwizard Tournament?,The Triwizard Tournament Binding Magical Contract,"{'answer': 'The Triwizard Contract', 'source': ""J.K. Rowling's Harry Potter series""}","{'answer': 'The name of the magical contract that enforces the rules of the Triwizard Tournament is not explicitly mentioned in the text provided.', 'source': 'The given text does not provide information about the name of the magical contract that enforces the rules of the Triwizard Tournament.'}","{'answer': 'The Triwizard Tournament has no specific magical contract named to enforce its rules.', 'source': 'The text provided in the extract does not mention a specific magical contract for the Triwizard Tournament.'}"
What magical item is used to destroy Horcruxes that is not a sword or wand?,The Basilisk Fang,"{'answer': 'The magical item used to destroy Horcruxes that is not a sword or wand is the Resurrection Stone.', 'source': 'Harry Potter and the Deathly Hallows'}","{'answer': ""The exact method to destroy a Horcrux using an item other than a sword or wand is not explicitly stated in the given text. However, in the extract from 'Harry Potter and the Deathly Hallows,' Harry, Hermione, and Ron attempt to destroy the Horcrux locket using various methods without success."", 'source': '[{""book"": ""Harry Potter and the Deathly Hallows""}, ""chapter"": ""The Thief"", ""pages"": 251-253]'}","{'answer': ""A basilisk fang or nail from the deathly hallows (the Resurrection Stone and the Elder Wand) is used to destroy Horcruxes, but in this passage, Harry, Ron, and Hermione are trying to figure out how to destroy the Horcrux locket that was around Voldemort's neck."", 'source': ""The Deathly Hallows by J.K. Rowling, chapter 14 'The Thief'""}"
Name the creature that can transform into a person's worst fear.,Boggart,"{'answer': 'The Monster under the Bed or The Boogeyman', 'source': 'Folklore and Popular Culture'}","{'answer': 'A Boggart', 'source': ""The extract is from Harry Potter and the Philosopher's Stone by J.K. Rowling, specifically from chapter 14 (Nightmare). In this chapter, Harry encounters a Boggart in the castle.""}","{'answer': 'Boggart', 'source': ""The creature that can transform into a person's worst fear is called a Boggart.""}"
What is the name of the curse that causes unbearable pain?,Cruciatus Curse,"{'answer': 'The Curse of the Evil Eye or the Mal de Ojo in some cultures is believed to cause unbearable pain and misfortune.', 'source': 'Various folklore and cultural beliefs'}","{'answer': 'Cruciatus Curse', 'source': 'The Unforgivable Curses lesson taught by Moody in Harry Potter and the Goblet of Fire.'}","{'answer': 'Cruciatus Curse', 'source': 'The name of the curse that causes unbearable pain is the Cruciatus Curse.'}"
What was the name of the group formed by Dumbledore to fight against Voldemort?,The Order of the Phoenix,"{'answer': 'The Order of the Phoenix', 'source': 'Harry Potter series'}","{'answer': ""Dumbledore's Army"", 'source': ""The Harry Potter series, specifically mentioned in the books 'Harry Potter and the Order of Phoenix' and 'Harry Potter and the Half-Blood Prince.'""}","{'answer': 'The Order of the Phoenix', 'source': ""J.K. Rowling's Harry Potter series""}"
What is the antidote for most poisons?,Bezoar,"{'answer': ""The antidote for most poisons depends on the specific poison. There isn't a general antidote that works for all poisons."", 'source': 'Mayo Clinic'}","{'answer': 'A bezoar is an antidote for most poisons.', 'source': ""The Half-Blood Prince's book on Advanced Transfiguration mentions that a bezoar is a stone taken from the stomach of a goat, which will protect from most poisons.""}","{'properties': {'answer': {'title': 'Answer', 'description': 'Antidotes vary depending on the specific poison.', 'type': 'string'}, 'source': {'title': 'Source', 'description': 'The Harry Potter series by J.K. Rowling', 'type': 'string'}}, 'required': ['answer', 'source']}"
What is the maximum sentence for breaking the International Statute of Wizarding Secrecy?,"Azkaban imprisonment (without specifying a maximum, but implies severe punishment)","{'answer': 'The maximum sentence for breaking the International Statute of Wizarding Secrecy is 10 years', 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': 'There is no specified maximum sentence for breaking the International Statute of Wizarding Secrecy.', 'source': 'The text provided does not mention the maximum sentence for breaking the International Statute of Wizarding Secrecy.'}","{'properties': {'answer': {'title': 'Answer', 'description': 'The maximum sentence for breaking the International Statute of Wizarding Secrecy is unknown based on the provided text.', 'type': 'null'}, 'source': {'title': 'Source', 'description': 'The text from which the question was derived.', 'type': 'string'}}, 'required': ['answer', 'source']}"
Name the wizard who is known for having a chocolate frog card dedicated to him for his work with the Philosopher's Stone.,Nicolas Flamel,"{'answer': 'Albus Dumbledore', 'source': 'Harry Potter series by J.K. Rowling'}","{'answer': 'Albus Dumbledore', 'source': ""The extract from 'Harry Potter and the Philosopher's Stone' mentions Albus Dumbledore having a chocolate frog card.""}","{'answer': 'Albus Dumbledore', 'source': ""The extract provided mentions that Harry obtained a Chocolate Frog card featuring Albus Dumbledore, and it describes Dumbledore as being known for his work on the Philosopher's Stone.""}"
"In which book and chapter does Harry first discover the Mirror of Erised, and what does he see in it","Harry Potter and the Philosopher's Stone, Chapter 12 'The Mirror of Erised'. Harry sees his deceased parents","{'answer': ""The Mirror of Erised is first introduced to Harry in Chapter 13 ('The Name of the Dead') of J.K. Rowling's 'Harry Potter and the Philosopher's Stone'. In the mirror, Harry sees a reflection that he finds irresistibly appealing because it shows him what he most desires."", 'source': ""J.K. Rowling's 'Harry Potter and the Philosopher's Stone'""}","{'answer': ""The Mirror of Erised is first discovered by Harry in 'Harry Potter and the Philosopher's Stone' in Chapter 12, which is titled 'The Mirror of Erised'. In this mirror, Harry sees reflections of his deceased parents and other family members."", 'source': ""The information provided in this answer is based on the text you have given in the extract from 'Harry Potter and the Philosopher's Stone' by J.K. Rowling.""}","{'answer': ""The Mirror of Erised is first discovered by Harry in Book 1, Chapter 12 of Harry Potter and the Philosopher's Stone."", 'source': 'In this chapter, Harry enters the Room of Requirement three nights in a row and finds the Mirror of Erised, which shows him images of his deepest desires and longings, specifically his family.'}"
What is the exact location of the entrance to the Ministry of Magic that Harry and Mr. Weasley use in 'Harry Potter and the Order of the Phoenix'? How do they enter?,"They enter through a telephone booth located on the corner of a street in London. The visitor's entrance code is 62442, spelling out 'MAGIC'.","{'answer': 'They enter through the Department of Mysteries at the back of the Muggle post office in London, using the Invisibility Cloak to hide themselves from Muggles. The entrance is concealed by an enchanted painting of a fat woman with a plate of roasting meats and a large fan.', 'source': 'Harry Potter and the Order of the Phoenix by J.K. Rowling'}","{'answer': ""The entrance to the Ministry of Magic that Harry and Mr. Weasley use in 'Harry Potter and the Order of the Phoenix' is through a telephone box in Diagon Alley. They call the Ministry for permission to enter, are verified by security, and then the telephone box sinks into the ground and takes them down to the Ministry's Atrium."", 'source': 'Book: Harry Potter and the Order of the Phoenix by J.K. Rowling'}","{'answer': 'They enter the Ministry of Magic through a red telephone box located at a shabby street, which is missing several panes of glass and stands before a heavily graffittied wall. After dialing a number and stating their names and business to the voice that answers over the phone, they are instructed to submit to a search and present their wand for registration at the security desk.', 'source': 'book5_order_of_the_phoenix_Chapter_7_THE_MINISTRY_OF_MAGIC'}"
What specific ingredient is needed to make the Draught of Living Death?,Powdered root of asphodel,"{'answer': 'The specific ingredient needed to make the Draught of Living Death is not provided in the question.', 'source': 'The question does not provide any information about where to find the specific ingredient for making the Draught of Living Death.'}","{'answer': ""Harry's blood"", 'source': ""The extract from chapter tom_riddle describes Voldemort's rebirth process, during which Harry's blood was one of the ingredients added into the cauldron for his master's resurrection.""}","{'answer': ""Harry's blood"", 'source': ""The extract of chapter tom_riddle describes Voldemort's rebirth by adding Harry's blood into a potion for his physical body to return.""}"
